Tarih|Date|Bulten_No|CrossOrder|Kod|CurrencyCode|Unit|Isim|CurrencyName|ForexBuying|ForexSelling|BanknoteBuying|BanknoteSelling|CrossRateUSD|CrossRateOther
13.04.2018|04/13/2018|2018/74|0|USD|USD|1|ABD DOLARI|US DOLLAR|4.0785|4.0859|4.0757|4.0920||
13.04.2018|04/13/2018|2018/74|1|AUD|AUD|1|AVUSTRALYA DOLARI|AUSTRALIAN DOLLAR|3.1728|3.1935|3.1582|3.2127|1.2824|
13.04.2018|04/13/2018|2018/74|2|DKK|DKK|1|DANİMARKA KRONU|DANISH KRONE|0.67418|0.67749|0.67371|0.67905|6.0402|
13.04.2018|04/13/2018|2018/74|9|EUR|EUR|1|EURO|EURO|5.0279|5.0369|5.0243|5.0445||1.2328
13.04.2018|04/13/2018|2018/74|10|GBP|GBP|1|İNGİLİZ STERLİNİ|POUND STERLING|5.8108|5.8411|5.8067|5.8498||1.4272
13.04.2018|04/13/2018|2018/74|3|CHF|CHF|1|İSVİÇRE FRANGI|SWISS FRANK|4.2291|4.2562|4.2227|4.2626|0.9622|
13.04.2018|04/13/2018|2018/74|4|SEK|SEK|1|İSVEÇ KRONU|SWEDISH KRONA|0.48230|0.48729|0.48196|0.48841|8.4205|
13.04.2018|04/13/2018|2018/74|6|CAD|CAD|1|KANADA DOLARI|CANADIAN DOLLAR|3.2408|3.2554|3.2288|3.2678|1.2568|
13.04.2018|04/13/2018|2018/74|11|KWD|KWD|1|KUVEYT DİNARI|KUWAITI DINAR|13.5223|13.6992|13.3195|13.9047||3.3342
13.04.2018|04/13/2018|2018/74|7|NOK|NOK|1|NORVEÇ KRONU|NORWEGIAN KRONE|0.52404|0.52756|0.52367|0.52878|7.7638|
13.04.2018|04/13/2018|2018/74|8|SAR|SAR|1|SUUDİ ARABİSTAN RİYALİ|SAUDI RIYAL|1.0875|1.0895|1.0794|1.0977|3.7502|
13.04.2018|04/13/2018|2018/74|5|JPY|JPY|100|JAPON YENİ|JAPENESE YEN|3.7800|3.8050|3.7660|3.8195|107.64|
13.04.2018|04/13/2018|2018/74|12|BGN|BGN|1|BULGAR LEVASI|BULGARIAN LEV|2.5562|2.5896|||1.5866|
13.04.2018|04/13/2018|2018/74|13|RON|RON|1|RUMEN LEYİ|NEW LEU|1.0726|1.0867|||3.7810|
13.04.2018|04/13/2018|2018/74|14|RUB|RUB|1|RUS RUBLESİ|RUSSIAN ROUBLE|0.06585|0.06671|||61.59|
13.04.2018|04/13/2018|2018/74|15|IRR|IRR|100|İRAN RİYALİ|IRANIAN RIAL|0.00966|0.00978|||42000|
13.04.2018|04/13/2018|2018/74|16|CNY|CNY|1|ÇİN YUANI|CHINESE RENMINBI|0.64557|0.65402|||6.2823|
13.04.2018|04/13/2018|2018/74|17|PKR|PKR|1|PAKİSTAN RUPİSİ|PAKISTANI RUPEE|0.03503|0.03549|||115.78|
13.04.2018|04/13/2018|2018/74|0|XDR|XDR|1|ÖZEL ÇEKME HAKKI (SDR)|SPECIAL DRAWING RIGHT (SDR)|5.9372|||||1.45440